TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Deluxe, Limited Edition Cosmic Transformation Oracle Deck with Digital Interactive Guidebook","IT'S HERE! Get our gorgeous DELUXE, LIMITED EDITION oracle deck & interactive digital guidebook.

THE COSMIC TRANSFORMATION ORACLE is the long-awaited creative collaboration between digital surreal artist Lindsay Kokoska - Infinite Mantra and mindset/mystical author Michelle Lewis - The Blessings Butterfly. So much Love has gone into the creation of this unique card deck and interactive digital guidebook.

Be among the first 500 people world-wide to own this incredible Deluxe Limited Edition oracle deck & interactive digital guidebook. This stunningly beautiful Deluxe Limited Edition deck includes our 56 large format cards in full color with gold foil edges, complete interactive digital guidebook, and deluxe 2-piece box with lid.

Perfect gift for both the experienced card reader and beginning card readers as well. Use for divination, affirmation, meditation, journal prompts, and more!

THE COSMIC TRANSFORMATION ORACLE is available for purchase and ready to ship!

About the Deck

The Cosmic Transformational Oracle Deluxe Limited Edition features 56 high-quality (350g art paper) large format cards with beautifully surreal digital images created by Lindsay Kokoska (@infinite_mantra) and luxurious gold foil edges.

This 56-card deck includes access to our exclusive, environmentally-conscious interactive digital guidebook to help support your journey, featuring detailed, Spirit-channeled messages for each card written by Michelle Lewis (@theblessingsbutterfly) and a variety of simple card spreads to support your journey.

So much Love has gone into the creation of this card deck and guidebook. Created during the height of the pandemic and Michelle's fight to beat breast cancer, the magick of healing and truly cosmic transformation imbues each card.",75,USD,8,,,https://i.etsystatic.com/11382754/r/il/5b0ee9/4517427351/il_fullxfull.4517427351_axnp.jpg,https://i.etsystatic.com/11382754/r/il/cea3e2/4517427309/il_fullxfull.4517427309_8efh.jpg,https://i.etsystatic.com/11382754/r/il/3063b1/4470060724/il_fullxfull.4470060724_fjb1.jpg,https://i.etsystatic.com/11382754/r/il/22f0cb/4470060750/il_fullxfull.4470060750_age5.jpg,https://i.etsystatic.com/11382754/r/il/047f2d/4517427077/il_fullxfull.4517427077_jt3w.jpg,https://i.etsystatic.com/11382754/r/il/90f6f0/4517427003/il_fullxfull.4517427003_i8c6.jpg,https://i.etsystatic.com/11382754/r/il/376e55/4470060718/il_fullxfull.4470060718_g59p.jpg,https://i.etsystatic.com/11382754/r/il/6320ce/4517427595/il_fullxfull.4517427595_2u68.jpg,https://i.etsystatic.com/11382754/r/il/cd3d9b/4517427701/il_fullxfull.4517427701_lsmn.jpg,https://i.etsystatic.com/11382754/r/il/9f3386/4517427717/il_fullxfull.4517427717_3xlj.jpg,,,,,,,
"Moon Swim Spiral Bound Sketchbook, Spiral Notebook, Spiral Bullet Journal, Moon Planner Notebook, A5 notebook, Sketchbook for Artist","One Size only: 10in x 7.5in

Spiral Bound Moon Sketchbook, Spiral Notebook, Spiral Bullet Journal, Moon Phase Notebook, Travel Notebook, Journal, Diary, Gift, Planner

You'll love this original art, spiral-bound printed notebook, which you can choose from a protective frosted polymer hard cover or a  soft (but strong) laminated cover, printed in full colour. You can choose your paper from Blank, Bullet, Graph or Ruled Paper. Enjoy your spiral notebook to bring illustrations, artwork,  bullet journalling or any project to life!

Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra


Details:


***Choose from Blank, Bullet, Graph or Ruled Paper.
***48 pages.
***Creamy white smooth finish 70lb acid free paper.
***Full colour print
***Chose your cover:Hard Cover Protection with a frosted polymer front and back cover or Laminated front cover and end sheet with full colour print.
**Choose your spine--- Choose from glossy coated metal spiral coil in your choice of white or black.
**Tear it out perforated pages makes tearing out and sharing your art neat and easy.
***FSC certified.
*All Sketchbooks are PRINTED WHEN ORDERED and are non-refundable. For example, I cannot exchange one item for another, thanks for understanding.***

We won’t offer gift wrapping at this time.

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra


©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra [!at] gmail.com",30,USD,6,"bullet_journal,lined_notebook,Sketchbook,Artist_Sketch_Book,Writing_journal,Gift,Moon_Phase_Notebook,Journal,Spiral_Notebook,Planner,Spiral_Sketchbook,Spiral_Journal,A5_notebook","352gsm cardstock,Glossy plastic coated metal spiral coil,Perforated pages,48 pages",https://i.etsystatic.com/11382754/r/il/6fe129/2307247570/il_fullxfull.2307247570_7uho.jpg,https://i.etsystatic.com/11382754/r/il/7d839b/2354846337/il_fullxfull.2354846337_boy4.jpg,https://i.etsystatic.com/11382754/r/il/a23add/2307246604/il_fullxfull.2307246604_r3uh.jpg,https://i.etsystatic.com/11382754/r/il/2af41c/1810058119/il_fullxfull.1810058119_1mdl.jpg,https://i.etsystatic.com/11382754/r/il/574a1f/1816586077/il_fullxfull.1816586077_eosx.jpg,https://i.etsystatic.com/11382754/r/il/ceca8f/1816585839/il_fullxfull.1816585839_rnh8.jpg,,,,,"Custom Property","Paper Choice","Buller Paper,Blank Paper,Graph Paper,Ruled Paper","Custom Property","Cover and Coil","SoftCover/White Coil,SoftCover/Black Coil,HardCover/WhiteCoil,HardCover/BlackCoil",
"Limited Edition, Lunar Cycle Journal, witchy journal, bullet journal, moon phase journal, moon cycle, moon diary","Lunar Cycle Journal

Use it to clear your mind before meditating, or to end your meditation session on an inspiring note or journal about your yoga practice, or use as a sketchbook... the possibilities are endless.

Hand-bound, allover printed notebooks great for journaling, drawing, note keeping and more!  Rich, creamy white 70 lb acid free paper, scuff resistant velvet ultra matte laminate cover, to full HD resolution colour print cover, care is put into this notebook to turn blank paper into your inspiring go-to notebook.


Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra

Details:

Paper Options:
Choose from Plain, Ruled, Graph, or Bullet pages inside to best suit your needs.

48 pages
Creamy white smooth finish 70lb acid free paper

2 Sizes- Large and Small (see photos for size comparisons) 
***Small: 5.25"" x 8.25"" ( SM)
***Large: 7.5"" by 10""     (LG)



***Please note: Each book is carefully hand-bound. They are strong and sturdy but due to the nature of the bounding technique, the journals are NOT meant to be opened like a butterfly.

***When opening, it needs to fold from the front cover on the line and then fold each following page as you go. I DO NOT recommend folding the journal flat all the way to the spine of the journal. Thank you***


We don’t offer gift wrapping at this time.

©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra@gmail.com

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",29,USD,8,"Planner,personalized_journal,bullet_journal,travel_journal,Lunar_phase_journal,moon_phase_journal,moon_journal,moon_phase_diary,moon_phase,Lunar_Cycle_Journal,witchy_journal,moon_cycle,moon_diary","70lb acid free paper,Matte Book Cover",https://i.etsystatic.com/11382754/r/il/23b3c1/1544513983/il_fullxfull.1544513983_plv5.jpg,https://i.etsystatic.com/11382754/r/il/5a31f6/1439783673/il_fullxfull.1439783673_l9wd.jpg,https://i.etsystatic.com/11382754/r/il/0d679a/1718501406/il_fullxfull.1718501406_gvfd.jpg,https://i.etsystatic.com/11382754/r/il/cc13ab/1353767683/il_fullxfull.1353767683_9au4.jpg,https://i.etsystatic.com/11382754/r/il/f6d717/1306509104/il_fullxfull.1306509104_kodr.jpg,https://i.etsystatic.com/11382754/r/il/995bad/1497039398/il_fullxfull.1497039398_rtnc.jpg,https://i.etsystatic.com/11382754/r/il/add167/1497039204/il_fullxfull.1497039204_bx6i.jpg,https://i.etsystatic.com/11382754/r/il/d0f731/1328071730/il_fullxfull.1328071730_o7pr.jpg,https://i.etsystatic.com/11382754/r/il/3039b3/2305174091/il_fullxfull.2305174091_eaxf.jpg,,"Custom Property","Paper Type","Blank Paper,Ruled Paper,Graph Paper,Bullet Paper","Custom Property",SIZE,"SM,LG",
"Limited Edition, Shapeshifter, Shadow Work Journal, Shadow Work, Kundalini Rising journal, Fine Art Journal, Journal, Meditation Journal","Shapeshifter  Journal

This bullet journal notebook is printed from one of my original artworks . It is ideal for planning your year, month and week according to the bullet journal method, or simply writing down thoughts & ideas, observations or travel plans. It's also great to use it to clear your mind before meditating, or to end your meditation session on an inspiring note or journal about your yoga practice, or use as a sketchbook... the possibilities are endless.

Hand-bound, allover printed notebooks great for journaling, drawing, note keeping and more!  Rich, creamy white 70 lb acid free paper, scuff resistant velvet ultra matte laminate cover, to full HD resolution colour print cover, care is put into this notebook to turn blank paper into your inspiring go-to notebook.



Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra

Details:

Paper Options:
Choose from Plain, Ruled, Graph, or Bullet pages inside to best suit your needs.

48 pages
Creamy white smooth finish 70lb acid free paper

2 Sizes- Large and Small (see photos for size comparisons) 
***Small: 5.25"" x 8.25"" ( SM)
***Large: 7.5"" by 10""     (LG)



***Please note: Each book is carefully hand-bound. They are strong and sturdy but due to the nature of the bounding technique, the journals are NOT meant to be opened like a butterfly.

***When opening, it needs to fold from the front cover on the line and then fold each following page as you go. I DO NOT recommend folding the journal flat all the way to the spine of the journal. Thank you***


We don’t offer gift wrapping at this time.

©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra@gmail.com

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",29,USD,9,"Personalized_Gift,bullet_journal,meditation_journal,yoga_journal,Emerge_journal,FIne_Art_Journal,Blank_Journal,Manifestation,Dream_Journal,Astrology_Gift,Astrology_Journal,Journalling","70lb acid free paper,scuff resistant,velvet ultra matte laminate cover",https://i.etsystatic.com/11382754/r/il/3169a0/4167054800/il_fullxfull.4167054800_61mn.jpg,https://i.etsystatic.com/11382754/r/il/0e97f8/4167055012/il_fullxfull.4167055012_qkx8.jpg,https://i.etsystatic.com/11382754/r/il/129615/4214717679/il_fullxfull.4214717679_acnk.jpg,https://i.etsystatic.com/11382754/r/il/64fa47/4167055288/il_fullxfull.4167055288_ax4l.jpg,https://i.etsystatic.com/11382754/r/il/0f61e9/4228999491/il_fullxfull.4228999491_1mn7.jpg,https://i.etsystatic.com/11382754/r/il/a7bece/4181346220/il_fullxfull.4181346220_tedu.jpg,https://i.etsystatic.com/11382754/r/il/a29061/4228999725/il_fullxfull.4228999725_6xt7.jpg,https://i.etsystatic.com/11382754/r/il/5b2556/4228999717/il_fullxfull.4228999717_2jte.jpg,https://i.etsystatic.com/11382754/r/il/7bb7a4/4228999757/il_fullxfull.4228999757_3f9c.jpg,,"Custom Property","Paper Type","Blank Paper,Ruled Paper,Graph Paper,Bullet Paper","Custom Property",SIZE,"SM,LG",
"Limited Edition, Limited Edition, Lunar phase bullet journal,  moon phase journal, moon journal","Blue Moon Phase Writing, Divination and Meditation Journal

Use it to clear your mind before meditating, or to end your meditation session on an inspiring note or journal about your yoga practice, or use as a sketchbook... the possibilities are endless.

Hand-bound, allover printed notebooks great for journaling, drawing, note keeping and more!  Rich, creamy white 70 lb acid free paper, scuff resistant velvet ultra matte laminate cover, to full HD resolution colour print cover, care is put into this notebook to turn blank paper into your inspiring go-to notebook.


Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra

Details:

Paper Options:
Choose from Plain, Ruled, Graph, or Bullet pages inside to best suit your needs.

48 pages
Creamy white smooth finish 70lb acid free paper

2 Sizes- Large and Small (see photos for size comparisons) 
***Small: 5.25"" x 8.25"" ( SM)
***Large: 7.5"" by 10""     (LG)



***Please note: Each book is carefully hand-bound. They are strong and sturdy but due to the nature of the bounding technique, the journals are NOT meant to be opened like a butterfly.

***When opening, it needs to fold from the front cover on the line and then fold each following page as you go. I DO NOT recommend folding the journal flat all the way to the spine of the journal. Thank you***


We don’t offer gift wrapping at this time.

©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra@gmail.com

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",29,USD,4,"bullet_journal,travel_journal,personalized_journal,gift,custom_notebook,moon_phase,Moon_Journal,moon_notebook,journal,notebook,meditation_journal,yoga_journal,moon_phase_journal","70lb acid free paper,Matte Book Cover,scuff resistant,velvet ultra matte laminate cover",https://i.etsystatic.com/11382754/r/il/ad188b/1662689745/il_fullxfull.1662689745_f7p6.jpg,https://i.etsystatic.com/11382754/r/il/29ce9a/1638493840/il_fullxfull.1638493840_9vqx.jpg,https://i.etsystatic.com/11382754/r/il/e75a07/1615255442/il_fullxfull.1615255442_8q3b.jpg,https://i.etsystatic.com/11382754/r/il/b9ab62/1615255544/il_fullxfull.1615255544_m8w9.jpg,https://i.etsystatic.com/11382754/r/il/b0930b/1615255716/il_fullxfull.1615255716_ozkx.jpg,https://i.etsystatic.com/11382754/r/il/939292/1496781754/il_fullxfull.1496781754_1g9y.jpg,https://i.etsystatic.com/11382754/r/il/fb729c/1496781868/il_fullxfull.1496781868_7tvm.jpg,https://i.etsystatic.com/11382754/r/il/f6d717/1306509104/il_fullxfull.1306509104_kodr.jpg,https://i.etsystatic.com/11382754/r/il/cc13ab/1353767683/il_fullxfull.1353767683_9au4.jpg,https://i.etsystatic.com/11382754/r/il/3039b3/2305174091/il_fullxfull.2305174091_eaxf.jpg,"Custom Property","Paper Type","Blank Paper,Ruled Paper,Graph Paper,Bullet Paper","Custom Property",Size,"SM,LG",
"Limited Edition, Kundalini Rising Journal , Snake and Moon Journal , Kundalini Snake Journal, New Moon Journal, Book of Shadows","Kundalini Rising Journal 2021

Kundalini is a form of divine feminine energy believed to be located at the base of the spine, in the muladhara.

This bullet journal notebook is printed from one of my original artworks . It is ideal for planning your year, month and week according to the bullet journal method, or simply writing down thoughts & ideas, observations or travel plans. It's also great to use it to clear your mind before meditating, or to end your meditation session on an inspiring note or journal about your yoga practice, or use as a sketchbook... the possibilities are endless.

Hand-bound, allover printed notebooks great for journaling, drawing, note keeping and more!  Rich, creamy white 70 lb acid free paper, scuff resistant velvet ultra matte laminate cover, to full HD resolution colour print cover, care is put into this notebook to turn blank paper into your inspiring go-to notebook.



Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra

Details:

Paper Options:
Choose from Plain, Ruled, Graph, or Bullet pages inside to best suit your needs.

48 pages
Creamy white smooth finish 70lb acid free paper

2 Sizes- Large and Small (see photos for size comparisons) 
***Small: 5.25"" x 8.25"" ( SM)
***Large: 7.5"" by 10""     (LG)



***Please note: Each book is carefully hand-bound. They are strong and sturdy but due to the nature of the bounding technique, the journals are NOT meant to be opened like a butterfly.

***When opening, it needs to fold from the front cover on the line and then fold each following page as you go. I DO NOT recommend folding the journal flat all the way to the spine of the journal. Thank you***


We don’t offer gift wrapping at this time.

©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra@gmail.com

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",29,USD,3,"Personalized_Gift,meditation_journal,yoga_journal,yoga_gift,book_of_shadows,spell_book,Graditude_Journal,New_Moon_Journal,Yoga,Kundalini_Snake,Snake_and_Moon,Journal_2021,Kundalini_Journal","70lb acid free paper,scuff resistant,velvet ultra matte laminate cover",https://i.etsystatic.com/11382754/r/il/f9edf7/2671586848/il_fullxfull.2671586848_1rf3.jpg,https://i.etsystatic.com/11382754/r/il/634e7d/2719269331/il_fullxfull.2719269331_k9ar.jpg,https://i.etsystatic.com/11382754/r/il/727370/2719269325/il_fullxfull.2719269325_mlhu.jpg,https://i.etsystatic.com/11382754/r/il/91448d/2671587552/il_fullxfull.2671587552_o5mj.jpg,https://i.etsystatic.com/11382754/r/il/93d2b5/1768554347/il_fullxfull.1768554347_ian6.jpg,https://i.etsystatic.com/11382754/r/il/ab8749/1669803186/il_fullxfull.1669803186_9zgw.jpg,https://i.etsystatic.com/11382754/r/il/5777a8/1768554159/il_fullxfull.1768554159_e26i.jpg,https://i.etsystatic.com/11382754/r/il/cc13ab/1353767683/il_fullxfull.1353767683_9au4.jpg,https://i.etsystatic.com/11382754/r/il/352c57/1578597019/il_fullxfull.1578597019_bgnu.jpg,https://i.etsystatic.com/11382754/r/il/f61d3f/1578597075/il_fullxfull.1578597075_3rtz.jpg,"Custom Property","Paper Type","Blank Paper,Ruled Paper,Graph Paper,Bullet Paper","Custom Property",SIZE,"SM,LG",
"Limited Edition, Limited Edition, Kali Mudra, Yoga Journal, bullet journal, meditation journal,","Kali Mudra Yoga Journal
 
Kali = goddess of fearlessness, inner strength, and empowerment

mudra = seal

Kali Mudra empowers you to stand in your truth, cultivates courage and builds inner strength.


This bullet journal notebook is printed from one of my original artworks . It is ideal for planning your year, month and week according to the bullet journal method, or simply writing down thoughts & ideas, observations or travel plans. It's also great to use it to clear your mind before meditating, or to end your meditation session on an inspiring note or journal about your yoga practice, or use as a sketchbook... the possibilities are endless.

Hand-bound, allover printed notebooks great for journaling, drawing, note keeping and more!  Rich, creamy white 70 lb acid free paper, scuff resistant velvet ultra matte laminate cover, to full HD resolution colour print cover, care is put into this notebook to turn blank paper into your inspiring go-to notebook.

Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra

Details:

Paper Options:
Choose from Plain, Ruled, Graph, or Bullet pages inside to best suit your needs.

48 pages
Creamy white smooth finish 70lb acid free paper

2 Sizes- Large and Small (see photos for size comparisons) 
***Small: 5.25"" x 8.25"" ( SM)
***Large: 7.5"" by 10""     (LG)



***Please note: Each book is carefully hand-bound. They are strong and sturdy but due to the nature of the bounding technique, the journals are NOT meant to be opened like a butterfly.

***When opening, it needs to fold from the front cover on the line and then fold each following page as you go. I DO NOT recommend folding the journal flat all the way to the spine of the journal. Thank you***


We don’t offer gift wrapping at this time.

©All Artwork of Infinite Mantra is created by Intuitive Artist Lindsay Kokoska and are subject to copyright laws. Lindsay can be commissioned for artwork and design collaborations outside the scope of Etsy. Please email: infinitemantra@gmail.com*

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",29,USD,7,"bullet_journal,travel_journal,personalized_journal,traveler's_notebook,Travelers_Journal,Yoga_Journal,Meditation_journal,OM_Journal,Yoga_Gift,Yoga,Meditation_Gift,Journal,gyan_mudra","70lb acid free paper,scuff resistant,velvet ultra matte laminate cover",https://i.etsystatic.com/11382754/r/il/ddba2b/2780389180/il_fullxfull.2780389180_bj2i.jpg,https://i.etsystatic.com/11382754/r/il/558bc2/2828068781/il_fullxfull.2828068781_6rxw.jpg,https://i.etsystatic.com/11382754/r/il/8eb798/2828068789/il_fullxfull.2828068789_s9xp.jpg,https://i.etsystatic.com/11382754/r/il/f9cf12/1784282773/il_fullxfull.1784282773_hjrp.jpg,https://i.etsystatic.com/11382754/r/il/939292/1496781754/il_fullxfull.1496781754_1g9y.jpg,https://i.etsystatic.com/11382754/r/il/fb729c/1496781868/il_fullxfull.1496781868_7tvm.jpg,https://i.etsystatic.com/11382754/r/il/cc13ab/1353767683/il_fullxfull.1353767683_9au4.jpg,https://i.etsystatic.com/11382754/r/il/ab3f84/1736824768/il_fullxfull.1736824768_af27.jpg,https://i.etsystatic.com/11382754/r/il/a2ca49/1736825220/il_fullxfull.1736825220_l1dg.jpg,,"Custom Property","Paper Type","Blank Paper,Ruled Paper,Graph Paper,Bullet Paper","Custom Property",Size,"SM,LG",
"Limited Edition Print, Limited Edition Print, Cosmic Transformation, Whimsical Butterfly Art,  Butterfly Magical Celestial Art, Galaxy Art","Cosmic Transformation

A unique print of my original artwork. A one of a kind piece of art that will bring color and life to any room in your house. My art is inspired by dreams, taking you to a magical realm where anything is possible. I am passionate about making art that sparks emotion and ignites imagination. I hope you love it!
XO
Lindsay

Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra


Art Print: ( Fine Art) - Unframed**

Giclee Archival Matte paper

*Museum quality Fine Art print
*Hahnemühle Photo Rag paper
*Matte finish, textured surface with no glare
*Paper weight of 310gsm
*Bright white
*Resistant to scratches and fingerprint
*Border option offered from 1"" to 2"", perfect for framing.

*All Prints are PRINTED WHEN ORDERED and are non-refundable. For example, I cannot exchange art prints, thanks for understanding.***

We won’t offer gift wrapping at this time.

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",44.5,USD,5,"Cosmic_Art,cosmic_print,Cosmos_Decor,Spiritual_Art,Cosmic_Connection,Galaxy_Art,Magical_Art,Whimsical_Art,Cosmic_Galaxy_Art,Butterfly__Art,Whimsical_Butterfly,Cosmic_Butterfly,Butterfly_Galaxy","FIne art paper",https://i.etsystatic.com/11382754/r/il/1d2393/2887912248/il_fullxfull.2887912248_33y3.jpg,https://i.etsystatic.com/11382754/r/il/a9df81/2874543709/il_fullxfull.2874543709_rm1g.jpg,https://i.etsystatic.com/11382754/r/il/2c644d/2935547795/il_fullxfull.2935547795_a827.jpg,https://i.etsystatic.com/11382754/r/il/a28135/2887930548/il_fullxfull.2887930548_ehay.jpg,,,,,,,Size,Size,"7.5 x 10,12 x 16,18 x 24,24 x 32",,,,
"Limited Edition Print, Limited Edition Print, Cosmic Aura, Aura Art Print, Light Body, Aura Art, Dreamy Art Print, Celestial Art Print","Cosmic Aura


A unique print of my original artwork. A one of a kind piece of art that will bring color and life to any room in your house. My art is inspired by dreams, taking you to a magical realm where anything is possible. I am passionate about making art that sparks emotion and ignites imagination. I hope you love it!
XO
Lindsay

Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra


Art Print: ( Fine Art) - Unframed**

Giclee Archival Matte paper

*Museum quality Fine Art print
*Hahnemühle Photo Rag paper
*Matte finish, textured surface with no glare
*Paper weight of 310gsm
*Bright white
*Resistant to scratches and fingerprint
*Border option offered from 1"" to 2"", perfect for framing.

*All Prints are PRINTED WHEN ORDERED and are non-refundable. For example, I cannot exchange art prints, thanks for understanding.***

We won’t offer gift wrapping at this time.

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",44.5,USD,5,"wall_decor,Wall_Art,home_decor,Cosmic_Art,Cosmos_Decor,Celestial_Art_Print,cosmic_print,Cosmic_Aura,Aura_Art_Print,Light_Body,Aura_Art,Reiki_Art,Dreamy_Art_Print","FIne art paper",https://i.etsystatic.com/11382754/r/il/5587a3/2935280521/il_fullxfull.2935280521_3uth.jpg,https://i.etsystatic.com/11382754/r/il/9965d7/2887602970/il_fullxfull.2887602970_hjev.jpg,https://i.etsystatic.com/11382754/r/il/453535/2935279969/il_fullxfull.2935279969_1xk2.jpg,https://i.etsystatic.com/11382754/r/il/beb98e/2935280179/il_fullxfull.2935280179_fdv9.jpg,https://i.etsystatic.com/11382754/r/il/412c9f/2887603542/il_fullxfull.2887603542_yqx4.jpg,https://i.etsystatic.com/11382754/r/il/e59c16/2887603560/il_fullxfull.2887603560_fopn.jpg,,,,,Size,Size,"7.5 x 10,12 x 16,18 x 24,24 x 32",,,,
"Limited Edition Print, Star Dreamer, Ethereal Art, Galaxy Art Print, Divine Feminine Art Print Manifestation Art, Oracle Art, Surreal Art","Star Dreamer

A unique print of my original artwork. A one of a kind piece of art that will bring color and life to any room in your house. My art is inspired by dreams, taking you to a magical realm where anything is possible. I am passionate about making art that sparks emotion and ignites imagination. I hope you love it!
XO
Lindsay

Looking for more amazing journals, art prints and home decor? 
https://www.etsy.com/ca/shop/InfiniteMantra


Art Print: ( Fine Art) - Unframed**

Giclee Archival Matte paper

*Museum quality Fine Art print
*Hahnemühle Photo Rag paper
*Matte finish, textured surface with no glare
*Paper weight of 310gsm
*Bright white
*Resistant to scratches and fingerprint
*Border option offered from 1"" to 2"", perfect for framing.

*All Prints are PRINTED WHEN ORDERED and are non-refundable. For example, I cannot exchange art prints, thanks for understanding.***

We won’t offer gift wrapping at this time.

Instagram @infinite_mantra
Pinterest: Infinite Mantra
Facebook: Infinite Mantra",44.5,USD,5,"Cosmic_Art,Surreal_Art,Female_Art,Female_Art_Print,Whimsical_Art_Print,Divine_Feminine,Fantasy_Art_Print,Surreal_Art_Print,Space_Art,Ethereal_Art,Manifestation_Art,Oracle_Art,Star_Dreamer","FIne art paper",https://i.etsystatic.com/11382754/r/il/4698cf/2935312425/il_fullxfull.2935312425_nxg5.jpg,https://i.etsystatic.com/11382754/r/il/38464f/2874702813/il_fullxfull.2874702813_5mp9.jpg,https://i.etsystatic.com/11382754/r/il/e83f13/2887634920/il_fullxfull.2887634920_bxys.jpg,https://i.etsystatic.com/11382754/r/il/8949bb/2935311473/il_fullxfull.2935311473_cxx5.jpg,https://i.etsystatic.com/11382754/r/il/4a7c4f/2935312155/il_fullxfull.2935312155_cugf.jpg,,,,,,Size,Size,"7.5 x 10,12 x 16,18 x 24,24 x 32",,,,
